group;ID;video_file;sub_stack;Slice;Median;seqID;time;m.center;filteredsignal;filt_med;peak;phase;Intensity;Distance;Slope;type;NF;Call.duration;breathidx
1;1;334;2002-2353;2036;11961;IR_2019-06-13_0334-Substack (2002-2353).xlsx;6786666667;272647416;201973735;1189032632;30;1;1.061;0.6;-1.644210526;n;n;;1
1;1;334;2002-2353;2054;109;IR_2019-06-13_0334-Substack (2002-2353).xlsx;6846666667;-788352584;-873866274;1081448631;48;2;1.155;0.7;1.723568605;n;n;;1
1;1;334;2002-2353;2075;12055;IR_2019-06-13_0334-Substack (2002-2353).xlsx;6916666667;366647416;261569355;1194992194;69;3;0.025;0.266666667;0.353;n;n;;1
1;1;334;2002-2353;2083;1208;IR_2019-06-13_0334-Substack (2002-2353).xlsx;6943333333;391647416;298509476;1198686206;77;1;0.605;0.5;-1.262117647;n;n;;2
1;1;334;2002-2353;2098;11475;IR_2019-06-13_0334-Substack (2002-2353).xlsx;6993333333;-213352584;-313886033;1137446655;92;2;0.009;0.566666667;0.256996904;n;n;;2
1;1;334;2002-2353;2115;11466;IR_2019-06-13_0334-Substack (2002-2353).xlsx;705;-222352584;-118185158;1157016743;109;3;0.231;0.2;1.877142857;n;n;;2
1;1;334;2002-2353;2121;11697;IR_2019-06-13_0334-Substack (2002-2353).xlsx;707;8647416;-3437389;1165397869;115;1;0.909;0.366666667;-1.767062937;n;n;;3
1;1;334;2002-2353;2132;10788;IR_2019-06-13_0334-Substack (2002-2353).xlsx;7106666667;-900352584;-684257596;1100409499;126;2;1.071;0.266666667;4.518;n;n;;3
1;1;334;2002-2353;2140;11859;IR_2019-06-13_0334-Substack (2002-2353).xlsx;7133333333;170647416;248163933;1193651652;134;3;0.484;0.666666667;0.352948052;n;n;;3
1;1;334;2002-2353;2160;12343;IR_2019-06-13_0334-Substack (2002-2353).xlsx;72;654647416;507905431;1219625801;154;1;1.918;0.633333333;-2.333165414;n;n;;4
1;1;334;2002-2353;2179;10425;IR_2019-06-13_0334-Substack (2002-2353).xlsx;7263333333;-1263352584;-972041646;1071631094;173;2;1.545;0.3;4.763454545;n;n;;4
1;1;334;2002-2353;2188;1197;IR_2019-06-13_0334-Substack (2002-2353).xlsx;7293333333;281647416;18465946;1170681853;182;3;0.213;0.833333333;-0.085702564;n;n;;4
1;1;334;2002-2353;2213;11757;IR_2019-06-13_0334-Substack (2002-2353).xlsx;7376666667;68647416;-70500299;1161785228;207;1;0.943;0.133333333;-6.096;n;n;;5
1;1;334;2002-2353;2217;10814;IR_2019-06-13_0334-Substack (2002-2353).xlsx;739;-874352584;-452569317;1123578327;211;2;1.156;0.233333333;3.936428571;n;n;;5
1;1;334;2002-2353;2224;1197;IR_2019-06-13_0334-Substack (2002-2353).xlsx;7413333333;281647416;266053375;1195440596;218;3;0.051;1.033333333;-0.232406525;n;n;;5
1;1;334;2002-2353;2255;12021;IR_2019-06-13_0334-Substack (2002-2353).xlsx;7516666667;332647416;151866371;1184021895;249;1;0.623;0.133333333;-5.994;n;n;;6
1;1;334;2002-2353;2259;11398;IR_2019-06-13_0334-Substack (2002-2353).xlsx;753;-290352584;-184195595;1150415699;253;2;0.86;0.466666667;1.52325;n;n;;6
