 ,Area,Min,Max,Median,Slice
1,50,13230,13421,13315,441
2,50,13387,13472,13434,779
3,50,13297,13441,13377,780
4,50,13279,13407,13361,781
5,50,13256,13374,13347,782
6,50,13238,13372,13338,783
7,50,13219,13352,13309,784
8,50,13221,13348,13317,785
9,50,13224,13344,13307,786
10,50,13216,13335,13294,787
11,50,13230,13327,13284,788
12,50,13225,13323,13278,789
13,50,13230,13306,13276,790
14,50,13200,13334,13279,791
15,50,13232,13347,13273,792
16,50,13247,13344,13294,793
17,50,13257,13361,13320,794
18,50,13260,13402,13335,795
19,50,13290,13406,13357,796
20,50,13293,13409,13360,797
21,50,13291,13419,13374,798
22,50,13272,13405,13376,799
23,50,13317,13430,13380,800
24,50,13311,13433,13373,801
25,50,13336,13427,13384,802
26,50,13338,13430,13384,803
27,50,13332,13432,13399,804
28,50,13311,13432,13402,805
29,50,13306,13453,13402,806
30,50,13326,13443,13409,807
31,50,13298,13436,13406,808
32,50,13282,13461,13404,809
33,50,13308,13455,13404,810
34,50,13311,13463,13402,811
35,50,13281,13492,13400,812
36,50,13297,13448,13405,813
37,50,13321,13444,13411,814
38,50,13353,13449,13418,815
39,50,13329,13438,13416,816
40,50,13245,13445,13403,817
41,50,13341,13451,13415,818
42,50,13276,13455,13408,819
43,50,13274,13440,13413,820
44,50,13305,13450,13420,821
45,50,13308,13467,13412,822
46,50,13326,13480,13424,823
47,50,13407,13495,13432,824
48,50,13351,13488,13425,825
49,50,13347,13491,13439,826
50,50,13378,13480,13446,827
51,50,13368,13485,13437,828
52,50,13372,13459,13407,829
53,50,13332,13439,13383,830
54,50,13288,13424,13366,831
55,50,13255,13423,13349,832
56,50,13288,13435,13330,833
57,50,13272,13436,13330,834
58,50,13273,13419,13332,835
59,50,13295,13416,13327,836
60,50,13284,13407,13321,837
61,50,13279,13407,13321,838
62,50,13284,13423,13313,839
63,50,13265,13416,13322,840
64,50,13277,13382,13326,841
65,50,13270,13407,13332,842
66,50,13278,13419,13335,843
67,50,13324,13461,13354,844
68,50,13325,13407,13360,845
69,50,13344,13470,13389,846
70,50,13322,13458,13395,847
71,50,13329,13466,13405,848
72,50,13354,13453,13414,849
73,50,13377,13471,13420,850
74,50,13387,13477,13422,851
75,50,13392,13485,13433,852
76,50,13376,13473,13425,853
77,50,13405,13480,13440,854
78,50,13398,13482,13445,855
79,50,13362,13482,13435,856
80,50,13315,13488,13436,857
81,50,13321,13482,13441,858
82,50,13319,13488,13446,859
83,50,13368,13489,13447,860
84,50,13306,13475,13444,861
85,50,13349,13519,13437,862
86,50,13358,13509,13434,863
87,50,13343,13507,13438,864
88,50,13360,13505,13430,865
89,50,13367,13505,13432,866
90,50,13363,13517,13434,867
91,50,13362,13505,13434,868
92,50,13356,13510,13433,869
93,50,13367,13510,13432,870
94,50,13365,13502,13433,871
95,50,13362,13490,13438,872
96,50,13342,13477,13430,1065
97,50,13307,13482,13417,1066
98,50,13301,13484,13399,1067
99,50,13282,13451,13368,1068
100,50,13227,13450,13342,1069
101,50,13264,13436,13337,1070
102,50,13260,13437,13351,1075
103,50,13181,13453,13340,1076
104,50,13209,13531,13392,1077
105,50,13259,13522,13438,1078
106,50,13312,13577,13465,1079
107,50,13373,13609,13473,1080
108,50,13371,13581,13468,1081
109,50,13365,13587,13482,1082
110,50,13371,13587,13489,1083
111,50,13343,13596,13463,1084
112,50,13326,13623,13467,1085
113,50,13395,13601,13492,1086
114,50,13401,13629,13508,1087
115,50,13364,13623,13502,1088
116,50,13402,13622,13507,1089
117,50,13289,13624,13490,1090
118,50,13363,13619,13498,1091
119,50,13381,13629,13500,1092
120,50,13341,13621,13483,1093
121,50,13400,13611,13517,1094
122,50,13365,13607,13496,1095
123,50,13336,13625,13502,1096
124,50,13288,13604,13499,1097
125,50,13302,13549,13452,1098
126,50,13150,13383,13287,1100
127,50,13165,13429,13292,1101
128,50,13247,13476,13346,1102
129,50,13233,13451,13353,1103
130,50,13248,13486,13368,1104
131,50,13202,13472,13343,1105
132,50,13223,13445,13342,1106
133,50,13229,13454,13344,1107
134,50,13249,13478,13339,1108
135,50,13265,13490,13347,1109
136,50,13268,13498,13351,1110
137,50,13268,13492,13347,1111
138,50,13279,13468,13350,1112
139,50,13287,13533,13355,1113
140,50,13306,13515,13384,1114
141,50,13308,13527,13399,1115
142,50,13329,13525,13424,1116
143,50,13342,13576,13448,1117
144,50,13366,13551,13458,1118
145,50,13314,13507,13393,1119
146,50,13308,13506,13390,1120
147,50,13271,13464,13369,1121
148,50,13264,13490,13380,1122
149,50,13285,13505,13377,1123
150,50,13231,13460,13364,1124
151,50,13242,13499,13369,1125
152,50,13228,13450,13359,1126
153,50,13214,13461,13352,1127
154,50,13225,13468,13343,1128
155,50,13243,13483,13364,1129
156,50,13261,13492,13373,1130
157,50,13261,13478,13390,1131
158,50,13261,13475,13398,1132
159,50,13285,13511,13410,1133
160,50,13240,13491,13396,1134
161,50,13239,13478,13372,1135
162,50,13225,13474,13341,1136
163,50,13239,13478,13357,1137
164,50,13230,13487,13348,1138
165,50,13227,13476,13336,1139
166,50,13204,13437,13326,1140
167,50,13206,13435,13329,1141
168,50,13237,13480,13343,1142
169,50,13225,13471,13342,1143
170,50,13234,13480,13348,1144
171,50,13211,13456,13328,1145
172,50,13194,13446,13316,1146
173,50,13257,13565,13367,1147
174,50,13209,13571,13337,1148
175,50,13193,13528,13334,1149
176,50,13156,13434,13293,1150
177,50,13181,13446,13298,1151
178,50,13156,13417,13294,1152
179,50,13172,13412,13290,1153
180,50,13183,13434,13294,1154
181,50,13191,13437,13309,1155
182,50,13222,13477,13328,1156
183,50,13190,13450,13315,1157
184,50,13211,13470,13329,1158
185,50,13270,13515,13383,1159
186,50,13248,13512,13371,1160
187,50,13247,13531,13385,1161
188,50,13235,13521,13378,1162
189,50,13252,13523,13371,1163
190,50,13240,13516,13365,1164
191,50,13243,13516,13371,1165
192,50,13258,13491,13364,1166
193,50,13251,13543,13383,1167
194,50,13222,13487,13340,1168
195,50,13211,13462,13322,1169
196,50,13182,13481,13328,1170
197,50,13151,13422,13305,1171
198,50,13194,13454,13315,1172
199,50,13156,13461,13303,1173
200,50,13215,13481,13325,1174
201,50,13242,13484,13337,1175
202,50,13230,13482,13326,1176
203,50,13224,13461,13322,1177
204,50,13250,13538,13361,1178
205,50,13255,13546,13362,1179
206,50,13194,13475,13323,1180
207,50,13218,13474,13329,1181
208,50,13214,13533,13338,1182
209,50,13185,13496,13346,1183
210,50,13211,13493,13347,1184
211,50,13195,13489,13333,1185
212,50,13246,13490,13349,1186
213,50,13212,13447,13328,1187
214,50,13237,13491,13348,1188
215,50,13244,13483,13348,1189
216,50,13243,13476,13343,1190
217,50,13251,13486,13343,1191
218,50,13255,13495,13339,1192
219,50,13251,13505,13355,1193
220,50,13233,13488,13340,1194
221,50,13241,13485,13339,1195
222,50,13250,13484,13355,1196
223,50,13228,13472,13344,1197
224,50,13227,13480,13347,1198
225,50,13181,13445,13323,1199
226,50,13209,13461,13333,1200
227,50,13262,13512,13350,1201
228,50,13233,13484,13332,1202
229,50,13241,13487,13338,1203
230,50,13226,13459,13336,1204
231,50,13223,13453,13325,1205
232,50,13210,13453,13328,1206
233,50,13186,13434,13323,1207
234,50,13214,13438,13323,1208
235,50,13218,13442,13326,1209
236,50,13204,13483,13338,1210
237,50,13214,13459,13332,1211
238,50,13270,13511,13354,1212
239,50,13280,13551,13384,1213
240,50,13255,13531,13370,1214
241,50,13265,13515,13360,1215
242,50,13269,13531,13362,1216
243,50,13269,13542,13348,1217
244,50,13310,13574,13391,1218
245,50,13327,13606,13423,1219
246,50,13306,13603,13417,1220
247,50,13325,13597,13429,1221
248,50,13258,13563,13389,1222
249,50,13256,13488,13366,1223
250,50,13248,13515,13358,1224
251,50,13236,13485,13356,1225
252,50,13250,13487,13366,1226
253,50,13236,13482,13366,1227
254,50,13238,13499,13368,1228
255,50,13229,13543,13371,1229
256,50,13242,13504,13357,1230
257,50,13234,13535,13370,1231
258,50,13228,13520,13359,1232
259,50,13236,13491,13339,1233
260,50,13239,13540,13364,1234
261,50,13251,13522,13367,1235
262,50,13285,13567,13376,1236
263,50,13277,13561,13372,1237
264,50,13265,13541,13382,1238
265,50,13268,13549,13375,1239
266,50,13260,13523,13361,1240
267,50,13273,13553,13387,1241
268,50,13257,13504,13367,1242
269,50,13270,13528,13365,1243
270,50,13244,13506,13352,1244
271,50,13255,13509,13382,1245
272,50,13258,13514,13364,1246
273,50,13234,13503,13359,1247
274,50,13254,13529,13378,1248
275,50,13297,13568,13429,1249
276,50,13271,13573,13405,1250
277,50,13289,13595,13427,1251
278,50,13307,13595,13436,1252
279,50,13288,13584,13396,1253
280,50,13269,13564,13349,1254
281,50,13268,13598,13378,1255
282,50,13266,13596,13394,1256
283,50,13254,13592,13388,1257
284,50,13298,13626,13421,1258
285,50,13280,13609,13399,1259
286,50,13289,13625,13409,1260
