#,label,duration,start time,end time,rms,peak freq(meanentire),fundamental(meanentire),max freq(meanentire),entropy(meanentire),hnr(meanentire),filename
1,nf,0.042,3.9386,3.9806,-57.97,114,104,493,0.161,35.56,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\190619_Whiskers\1008.WAV
2,nf,0.022,4.0986,4.1206,-52.07,93,93,264,0.114,33.09,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\190619_Whiskers\1008.WAV
3,nf,0.0373,6.7006,6.738,-55.76,112,112,256,0.124,28.17,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\190619_Whiskers\1008.WAV
4,nf,0.0246,8.2813,8.306,-59.96,93,93,224,0.123,31.91,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\190619_Whiskers\1008.WAV
5,nf,0.0346,10.162,10.1966,-46.7,93,93,214,0.093,30.05,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\190619_Whiskers\1008.WAV
6,nf,0.11,13.8713,13.9813,-40.65,95,95,242,0.087,31.62,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\190619_Whiskers\1008.WAV
7,nf,0.0173,14.1579,14.1753,-46.1,93,93,281,0.097,32.03,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\190619_Whiskers\1008.WAV
8,nf,0.1406,14.7246,14.8653,-41.72,93,93,191,0.083,31.91,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\190619_Whiskers\1008.WAV
9,nf,0.0533,15.0286,15.082,-40.28,93,93,187,0.089,29.8,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\190619_Whiskers\1008.WAV
10,nf,0.1066,15.24,15.3466,-47.48,93,93,201,0.081,31.63,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\190619_Whiskers\1008.WAV
11,nf,0.1026,15.4479,15.5506,-48.21,94,94,208,0.092,31.19,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\190619_Whiskers\1008.WAV
12,nf,0.1326,15.6506,15.7833,-47.49,93,93,204,0.082,34.72,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\190619_Whiskers\1008.WAV
13,nf,0.1046,16.0086,16.1133,-45.76,93,93,193,0.082,30.15,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\190619_Whiskers\1008.WAV
14,nf,0.0473,17.4506,17.4979,-52.67,93,93,256,0.11,35.1,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\190619_Whiskers\1008.WAV
15,nf,0.1306,17.7966,17.9273,-53.64,93,93,225,0.096,29.42,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\190619_Whiskers\1008.WAV
16,nf,0.0193,18.0639,18.0833,-59.17,100,100,243,0.103,32.97,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\190619_Whiskers\1008.WAV
17,nf,0.028,18.3599,18.3879,-49.91,93,93,226,0.095,29.9,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\190619_Whiskers\1008.WAV
18,nf,0.0246,18.5686,18.5933,-58.28,147,131,347,0.126,29.91,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\190619_Whiskers\1008.WAV
19,nf,0.0286,20.0513,20.08,-49.55,93,93,230,0.092,34.78,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\190619_Whiskers\1008.WAV
20,nf,0.028,20.4886,20.5166,-49.8,93,93,250,0.089,33.77,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\190619_Whiskers\1008.WAV
21,nf,0.2926,21.1673,21.4599,-55.02,127,120,256,0.11,31.52,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\190619_Whiskers\1008.WAV
22,nf,0.158,22.0866,22.2446,-55.82,118,119,255,0.11,30.02,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\190619_Whiskers\1008.WAV
23,nf,0.046,24.7859,24.8319,-60.53,171,131,336,0.133,36.54,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\190619_Whiskers\1008.WAV
24,nf,0.016,25.6106,25.6266,-64.91,253,253,427,0.124,32.57,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\190619_Whiskers\1008.WAV
25,nf,0.1546,26.5466,26.7013,-57.78,95,95,255,0.102,28.87,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\190619_Whiskers\1008.WAV
26,nf,0.1053,27.3566,27.462,-57.27,93,93,265,0.098,30.79,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\190619_Whiskers\1008.WAV
27,nf,0.1226,28.6806,28.8033,-54.54,94,94,228,0.092,32.82,C:\Users\vdemartsev\Documents\Thermal\Audio for thermal\190619_Whiskers\1008.WAV
